date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:21	71896/71896	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont5b62.woff2	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:22	90412/90412	---M--	200	added ('OK')	font/woff	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont5b62.woff	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:22	152796/152796	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont5b62.ttf	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:22	391622/391622	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont5b62.svg	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:23	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/38cd263/fonts/open-iconic.eot	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/38cd263/fonts/open-iconic.eot	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:23	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/38cd263/fonts/open-iconic.eot?	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/38cd263/fonts/open-iconicd41d.eot	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:23	14984/14984	---M--	200	added ('OK')	font/woff	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/38cd263/fonts/open-iconic.woff	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/38cd263/fonts/open-iconic.woff	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:23	28028/28028	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/38cd263/fonts/open-iconic.ttf	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/38cd263/fonts/open-iconic.ttf	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:23	20996/20996	---MCZ	200	added ('OK')	font/otf	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/38cd263/fonts/open-iconic.otf	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/38cd263/fonts/open-iconic.otf	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:24	54789/54789	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/38cd263/fonts/open-iconic.svg	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/38cd263/fonts/open-iconic.svg	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
